date,schedule_season,schedule_week,neutral,playoff,team_favorite_id,spread_favorite,over_under_line,team_home,team_away,stadium,team_favorite_id,elo_prob1,weather_temperature,weather_wind_mph,weather_humidity,month,snow,rain,fog,home_favorite,away_favorite,over_under,home_avg_pts_diff,away_avg_pts_diff,home_roll_pts_diff,away_roll_pts_diff,home_rest,away_rest,div_game,home_after_div,away_after_div,qbelo_prob1,score1,score2
9/5/2019,2019,1,0,0,CHI,-3,46.5,CHI,GB,Soldier Field,CHI,0.758448519,68,7,69,9,0,0,0,1,0,,8.058823529,-1.5,-1.5,-1.5,100,100,1,0,0,0.640181642,,
9/8/2019,2019,1,0,0,MIN,-3.5,48,MIN,ATL,U.S. Bank Stadium,MIN,0.480385004,72,0,40,9,0,0,0,1,0,,1.1875,-0.5625,-0.5625,-0.5625,100,100,0,0,0,0.475029617,,
9/8/2019,2019,1,0,0,LAR,-2,50,CAR,LAR,Bank of America Stadium,LAR,0.617372078,87,2,65,9,0,0,0,0,1,,-0.375,7.578947,7.578947,7.578947,100,100,0,0,0,0.592844833,,
9/8/2019,2019,1,0,0,CLE,-5.5,45.5,CLE,TEN,FirstEnergy Stadium,CLE,0.502220197,70,8,69,9,0,0,0,1,0,,-2.0625,0.4375,0.4375,0.4375,100,100,0,0,0,0.546113784,,
9/8/2019,2019,1,0,0,KC,-3.5,52,JAX,KC,TIAA Bank Field,KC,0.372815575,92,3,54,9,0,0,0,0,1,,-4.4375,8.666667,8.666667,8.666667,100,100,0,0,0,0.387249692,,
9/8/2019,2019,1,0,0,BAL,-7,37.5,MIA,BAL,Hard Rock Stadium,BAL,0.502848264,88,8,71,9,0,0,0,0,1,,-7.125,5.647059,5.647059,5.647059,100,100,0,0,0,0.601345066,,
9/8/2019,2019,1,0,0,NYJ,-2.5,41,NYJ,BUF,MetLife Stadium,NYJ,0.384369676,76,6,47,9,0,0,0,1,0,,-6.75,-6.5625,-6.5625,-6.5625,100,100,1,0,0,0.415644819,,
9/8/2019,2019,1,0,0,PHI,-10.5,45.5,PHI,WAS,Lincoln Financial Field,PHI,0.765469854,77,5,46,9,0,0,0,1,0,,0.777778,-4.875,-4.875,-4.875,100,100,1,0,0,0.77438955,,
9/8/2019,2019,1,0,0,LAC,-6.5,45,LAC,IND,Dignity Health Sports Park,LAC,0.626264467,76,9,59,9,0,0,0,1,0,,5.111111,4.722222,4.722222,4.722222,100,100,0,0,0,0.718804742,,
9/8/2019,2019,1,0,0,SEA,-9.5,44,SEA,CIN,CenturyLink Field,SEA,0.761714804,65,4,77,9,0,1,0,1,0,,4.647059,-5.4375,-5.4375,-5.4375,100,100,0,0,0,0.753839702,,
9/8/2019,2019,1,0,0,DET,-2.5,47,ARI,DET,State Farm Stadium,DET,0.622840671,72,0,40,9,0,0,0,0,1,,-12.5,-2.25,-2.25,-2.25,100,100,0,0,0,0.545569286,,
9/8/2019,2019,1,0,0,DAL,-7,45,DAL,NYG,AT&T Stadium,DAL,0.440163339,72,0,40,9,0,0,0,1,0,,0.5,-2.6875,-2.6875,-2.6875,100,100,1,0,0,0.489629651,,
9/8/2019,2019,1,0,0,TB,-1,50,TB,SF,Raymond James Stadium,PICK,0.725584874,91,6,55,9,0,0,0,1,0,,-4.25,-5.8125,-5.8125,-5.8125,100,100,0,0,0,0.742930299,,
9/8/2019,2019,1,0,0,NE,-5.5,50.5,NE,PIT,Gillette Stadium,NE,0.683397064,63,4,67,9,0,0,0,1,0,,7.368421,4.25,4.25,4.25,100,100,0,0,0,0.676629408,,
9/9/2019,2019,1,0,0,NO,-6.5,52.5,NO,HOU,Mercedes-Benz Superdome,NO,0.715894873,72,0,40,9,0,0,0,1,0,,8.555556,4.235294,4.235294,4.235294,100,100,0,0,0,0.675670166,,
9/9/2019,2019,1,0,0,DEN,-2.5,43.5,OAK,DEN,Oakland Coliseum,DEN,0.530581016,63,12,68,9,0,0,0,0,1,,-11.0625,-1.25,-1.25,-1.25,100,100,1,0,0,0.513941852,,
